                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.90877,                0.64266,                  1.191,                0.87399,                0.83072,                0.90022,                0.64988,                0.97822,                0.57227,                 1.1866,               0.005545,               0.005545,               0.005545
                     93,                0.90937,                0.64214,                 1.1914,                0.87019,                0.83337,                0.90061,                0.65002,                 0.9785,                0.57125,                 1.1868,              0.0054955,              0.0054955,              0.0054955
                     94,                0.90377,                0.63721,                 1.1886,                0.87048,                0.83342,                0.90117,                0.65055,                0.97838,                0.57105,                 1.1867,               0.005446,               0.005446,               0.005446
                     95,                0.90329,                0.63117,                 1.1887,                0.87051,                0.83436,                0.90096,                0.65046,                 0.9777,                0.57099,                 1.1859,              0.0053965,              0.0053965,              0.0053965
                     96,                0.90295,                0.63737,                 1.1857,                0.86986,                0.83651,                 0.9013,                0.65112,                0.97726,                0.57053,                 1.1857,               0.005347,               0.005347,               0.005347
                     97,                0.90052,                0.63214,                 1.1879,                0.86959,                 0.8364,                0.90103,                0.65175,                0.97668,                0.56996,                  1.185,              0.0052975,              0.0052975,              0.0052975
                     98,                0.89751,                0.62809,                 1.1813,                0.87194,                0.83529,                0.90073,                0.65184,                0.97578,                0.56957,                 1.1843,               0.005248,               0.005248,               0.005248
                     99,                0.89707,                0.62604,                 1.1867,                0.87284,                0.83443,                0.90086,                0.65188,                0.97557,                0.56839,                 1.1845,              0.0051985,              0.0051985,              0.0051985
                    100,                0.89301,                0.62206,                 1.1784,                0.87191,                0.83545,                0.90151,                0.65211,                0.97491,                0.56737,                 1.1838,               0.005149,               0.005149,               0.005149
                    101,                0.89558,                0.62195,                 1.1839,                0.87661,                0.83217,                0.90154,                0.65227,                0.97431,                0.56729,                 1.1835,              0.0050995,              0.0050995,              0.0050995
                    102,                0.89263,                0.62467,                 1.1817,                0.87608,                0.83283,                0.90216,                0.65255,                0.97331,                0.56723,                 1.1829,                0.00505,                0.00505,                0.00505
                    103,                0.88869,                0.61889,                 1.1785,                0.87865,                0.82989,                0.90213,                0.65277,                0.97304,                0.56636,                  1.183,              0.0050005,              0.0050005,              0.0050005
                    104,                 0.8821,                 0.6135,                 1.1759,                0.87911,                0.83163,                0.90206,                0.65281,                0.97303,                0.56608,                 1.1834,               0.004951,               0.004951,               0.004951
                    105,                 0.8838,                 0.6114,                 1.1732,                0.87721,                0.83355,                0.90229,                0.65278,                0.97254,                0.56559,                 1.1833,              0.0049015,              0.0049015,              0.0049015
                    106,                0.88338,                0.60953,                 1.1722,                0.87906,                0.83316,                0.90229,                0.65322,                0.97262,                0.56474,                 1.1834,               0.004852,               0.004852,               0.004852
                    107,                0.87979,                0.60744,                 1.1715,                0.87994,                0.83117,                0.90202,                0.65375,                0.97198,                  0.564,                 1.1832,              0.0048025,              0.0048025,              0.0048025
                    108,                0.87558,                0.60814,                 1.1638,                0.87792,                0.83349,                0.90207,                0.65437,                0.97197,                0.56281,                 1.1833,               0.004753,               0.004753,               0.004753
                    109,                 0.8785,                0.60588,                 1.1651,                0.87159,                0.83701,                0.90213,                0.65417,                0.97226,                0.56274,                 1.1837,              0.0047035,              0.0047035,              0.0047035
                    110,                0.87737,                0.60431,                 1.1695,                0.86975,                0.83943,                0.90221,                0.65431,                0.97249,                0.56226,                 1.1846,               0.004654,               0.004654,               0.004654
